50,BCOR,"Berjaya Philippines, Inc.",9.5,9.5,9.8,6.0,791.667,,2024-12-19 23:04:15
51,BCP,Benguet Corporation Conv. Pref. ''A'',23.25,23.25,24.55,12.08,,,2024-12-19 23:04:15
52,BDO,"BDO Unibank, Inc.",148.0,143.0,169.0,125.2,14.77,3.00 (2.03%),2024-12-19 23:04:15
53,BEL,Belle Corporation,1.67,1.68,2.99,1.14,6.073,0.06 (3.59%),2024-12-19 23:04:15
54,BH,"BHI Holdings, Inc.",680.0,680.0,960.0,680.0,,,2024-12-19 23:04:15
55,BHI,"Boulevard Holdings, Inc.",0.08,0.079,0.107,0.047,133.333,,2024-12-19 23:04:15
56,BKR,"Bright Kindle Res. and Investments, Inc.",0.94,0.77,1.55,0.6,,,2024-12-19 23:04:15
57,BLOOM,Bloomberry Resorts Corporation,4.56,4.72,12.0,4.51,5.05,,2024-12-19 23:04:15
58,BMM,Bogo Medellin Milling Company,52.0,52.0,74.9,50.0,15.339,,2024-12-19 23:04:15
59,BNCOM,,6.8,6.72,8.8,6.1,,,2024-12-19 23:04:15
60,BPI,Bank of the Philippine Islands,122.0,126.0,149.6,101.0,19.092,3.36 (2.75%),2024-12-19 23:04:15
61,BRN,"A Brown Company, Inc.",0.55,0.56,0.71,0.51,2.75,,2024-12-19 23:04:15
62,BRNP,,95.0,94.3,100.0,93.5,,,2024-12-19 23:04:15
63,BRNPB,,104.0,104.0,110.0,96.0,,,2024-12-19 23:04:15
64,BRNPC,,107.2,106.4,108.0,95.3,,,2024-12-19 23:04:15
65,BSC,Basic Energy Corporation,0.136,0.14,0.247,0.12,68.00,,2024-12-19 23:04:15
66,C,Chelsea Logistics and Infra Hdgs Corp.,1.25,1.18,1.55,1.0,,,2024-12-19 23:04:15
67,CA,Concrete Aggregates Corp. ''A'',40.1,40.1,59.45,40.0,,0.84 (2.09%),2024-12-19 23:04:15
68,CAB,Concrete Aggregates Corp. ''B'',43.05,43.05,67.9,40.05,,,2024-12-19 23:04:15
69,CAT,Central Azucarera De Tarlac,11.4,11.4,22.4,10.0,35.625,,2024-12-19 23:04:15
70,CBC,,62.1,62.35,63.3,29.95,,,2024-12-19 23:04:15
71,CDC,Cityland Development Corporation,0.68,0.68,0.75,0.61,4.533,0.03 (4.41%),2024-12-19 23:04:15
72,CEB,"Cebu Air, Inc.",27.85,28.45,38.0,26.0,1.83,,2024-12-19 23:04:15
73,CEBCP,"Cebu Air, Inc. Convertible Pref",36.5,36.8,40.5,31.0,,,2024-12-19 23:04:15
74,CEI,"Crown Equities, Inc.",0.055,0.055,0.12,0.053,48.246,,2024-12-19 23:04:15
75,CEU,Centro Escolar University,14.38,13.22,15.48,6.67,20.254,1.20 (8.34%),2024-12-19 23:04:15
76,CHP,"Cemex Holdings Philippines, Inc.",1.74,1.78,2.3,0.87,,,2024-12-19 23:04:15
77,CIC,Concepcion Industrial Corporation,13.76,13.76,14.86,11.0,,0.50 (3.63%),2024-12-19 23:04:15
78,CLI,"Cebu Landmasters, Inc.",2.68,2.67,3.0,2.46,,0.18 (6.72%),2024-12-19 23:04:15
79,CLIA1,,1000.0,980.0,1250.0,950.0,,,2024-12-19 23:04:15
80,CLIA2,,1046.0,1045.0,1080.0,1010.0,,,2024-12-19 23:04:15
81,CNPF,"Century Pacific Food, Inc.",41.2,41.35,45.5,30.05,,,2024-12-19 23:04:15
82,CNVRG,"Converge ICT Solutions, Inc.",15.92,16.02,17.68,7.72,,,2024-12-19 23:04:15
83,COAL,"Coal Asia Holdings, Inc.",0.155,0.155,0.21,0.11,,,2024-12-19 23:04:15
84,COL,"COL Financial Group, Inc.",1.62,1.65,2.18,1.55,1.688,0.05 (3.09%),2024-12-19 23:04:15
85,COSCO,"Cosco Capital, Inc.",5.33,5.38,5.66,4.51,,0.39 (7.32%),2024-12-19 23:04:15
86,CPG,"Century Properties Group, Inc.",0.4,0.39,0.44,0.26,3.636,0.02 (5.00%),2024-12-19 23:04:15
87,CPGP,"Century Properties Group, Inc. Pref. A",101.8,101.8,103.0,95.0,,3.36 (3.30%),2024-12-19 23:04:15
88,CPGPB,,100.0,99.0,103.5,95.5,,,2024-12-19 23:04:15
89,CPM,Century Peak Holdings Corporation,2.68,2.66,3.54,2.51,22.333,,2024-12-19 23:04:15
90,CREC,,3.25,3.24,3.4,2.47,,,2024-12-19 23:04:15
91,CREIT,,3.03,3.03,3.1,2.55,,,2024-12-19 23:04:15
92,CROWN,Crown Asia Chemicals Corporation,1.79,1.8,2.07,1.49,,0.13 (7.26%),2024-12-19 23:04:15
93,CSB,Citystate Savings Bank,12.68,11.0,15.4,4.92,,,2024-12-19 23:04:15
94,CTS,,0.56,0.59,0.79,0.54,,,2024-12-19 23:04:15
95,CYBR,Cyber Bay Corporation,0.33,0.33,0.44,0.24,-7.021,,2024-12-19 23:04:15
96,DD,DoubleDragon Properties Corp.,10.42,10.4,13.1,7.38,,0.26 (2.50%),2024-12-19 23:04:15
97,DDMPR,"DDMP REIT, Inc.",1.03,1.03,1.26,0.98,,0.07 (6.80%),2024-12-19 23:04:15
98,DDPR,DoubleDragon Properties Corp. Pref.,95.8,95.9,98.0,90.0,,8.88 (9.27%),2024-12-19 23:04:15
99,DELM,Del Monte Pacific Limited,3.81,3.8,7.19,3.7,,0.00 (0.00%),2024-12-19 23:04:15
100,DFNN,"DFNN, Inc.",2.7,2.56,4.0,2.41,27.835,,2024-12-19 23:04:15
101,DHI,,1.47,1.47,4.5,1.4,,,2024-12-19 23:04:15
102,DITO,DITO CME Holdings Corp.,1.6,1.62,2.76,1.15,,,2024-12-19 23:04:15
103,DIZ,"Dizon Copper Silver Mines, Inc.",2.01,2.02,3.1,1.94,3.407,,2024-12-19 23:04:15
104,DMC,"DMCI Holdings, Inc.",10.48,10.46,12.62,9.24,13.266,1.44 (13.74%),2024-12-19 23:04:15
105,DMCP,"DMCI Holdings, Inc. Pref.",1400.0,1400.0,1400.0,1400.0,,,2024-12-19 23:04:15
106,DMPA1,Del Monte Pacific Ltd A-1 Pref. (USD),10.0,10.0,10.3,9.4,,,2024-12-19 23:04:15
107,DMPA2,Del Monte Pacific Ltd A-2 Pref. (USD),9.71,9.71,10.8,9.71,,,2024-12-19 23:04:15
108,DMW,"D.M. Wenceslao and Associates, Inc.",5.51,5.52,6.2,4.2,,0.07 (1.27%),2024-12-19 23:04:15
109,DNA,Philab Holdings Corp.,2.86,2.86,6.65,2.8,,,2024-12-19 23:04:15
110,DNL,"D and L Industries, Inc.",6.01,6.0,7.1,5.7,16.243,0.30 (4.99%),2024-12-19 23:04:15
111,DTEL,Phil. Long Distance Telephone Co. - USD,10.26,10.26,10.26,10.25,,,2024-12-19 23:04:15
112,DWC,Discovery World Corporation,1.22,1.22,1.41,1.01,,,2024-12-19 23:04:15
113,ECP,"Easycall Comm. Phils., Inc.",2.6,2.6,3.58,1.55,7.027,,2024-12-19 23:04:15
114,ECVC,,0.26,0.275,0.79,0.26,,,2024-12-19 23:04:15
115,EEI,EEI Corporation,3.28,3.21,6.59,3.18,2.94,,2024-12-19 23:04:15
116,EEIPA,,98.95,98.95,100.0,80.0,,,2024-12-19 23:04:15
117,EEIPB,,98.5,98.5,99.0,85.0,,,2024-12-19 23:04:15
118,EG,IP E-Game Ventures Inc.,0.0094,0.0094,0.016,0.0086,2.35,,2024-12-19 23:04:15
119,ELI,"Empire East Land Holdings, Inc.",0.118,0.123,0.191,0.118,2.81,,2024-12-19 23:04:15
120,EMI,,18.0,18.04,21.15,16.18,,,2024-12-19 23:04:15
121,ENEX,,4.7,4.5,8.5,3.7,,,2024-12-19 23:04:15
